"","Age_Category","Marriage_Category","POC Population Category","Poverty Rate Classification","Disabled Population Category"
"2515","Adult","Few Marriages","Medium","Low Poverty","Low"
"2516","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2517","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"2518","Older Adult","No Marriages","Low","Low Poverty","Medium"
"2519","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2520","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2521","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2522","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2523","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2524","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2525","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2526","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2527","Adult","Low Marriages","High","Low Poverty","Low"
"2528","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2529","Older Adult","Low Marriages","Medium","Low Poverty","Medium"
"2530","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"2531","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2532","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2533","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2534","Adult","Few Marriages","High","Low Poverty","Low"
"2535","Older Adult","Low Marriages","Medium","Low Poverty","Medium"
"2536","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2537","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2538","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2539","Adult","High Marriages","High","Low Poverty","Low"
"2540","Adult","High Marriages","High","Low Poverty","Low"
"2541","Older Adult","Few Marriages","Medium","Low Poverty","Low"
"2542","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"2543","Older Adult","Low Marriages","Medium","Low Poverty","Medium"
"2544","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2545","Mature Adult","High Marriages","High","Low Poverty","Low"
"2546","Young","Many Marriages","High","High Poverty","Low"
"2547","Older Adult","Few Marriages","High","Low Poverty","Low"
"2548","Older Adult","No Marriages","Medium","High Poverty","Medium"
"2549","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2550","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2551","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2552","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2553","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2554","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2555","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2556","Adult","High Marriages","High","High Poverty","Low"
"2557","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2558","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2559","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2560","Adult","Few Marriages","High","Low Poverty","Low"
"2561","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2562","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2563","Adult","No Marriages","High","Low Poverty","Low"
"2564","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2565","Mature Adult","No Marriages","High","High Poverty","Medium"
"2566","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2567","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"2568","Mature Adult","High Marriages","High","Low Poverty","Low"
"2569","Mature Adult","No Marriages","High","High Poverty","Medium"
"2570","Mature Adult","Low Marriages","High","Low Poverty","Low"
"2571","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2572","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2573","Older Adult","No Marriages","High","Low Poverty","Medium"
"2574","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2575","Adult","Many Marriages","High","Low Poverty","Low"
"2576","Mature Adult","No Marriages","High","High Poverty","High"
"2577","Mature Adult","No Marriages","High","Low Poverty","Low"
"2578","Older Adult","No Marriages","High","Low Poverty","Low"
"2579","Mature Adult","No Marriages","High","High Poverty","Medium"
"2580","Older Adult","No Marriages","High","High Poverty","Medium"
"2581","Adult","Few Marriages","High","Low Poverty","Low"
"2582","Adult","High Marriages","High","Low Poverty","Low"
"2583","Adult","Few Marriages","High","High Poverty","Low"
"2584","Adult","Few Marriages","High","Low Poverty","Low"
"2585","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2586","Mature Adult","High Marriages","High","Low Poverty","Low"
"2587","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2588","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2589","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2590","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"2591","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2592","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2593","Adult","Many Marriages","High","Low Poverty","Low"
"2594","Mature Adult","No Marriages","Medium","High Poverty","Low"
"2595","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2596","Adult","High Marriages","High","Low Poverty","Low"
"2597","Adult","Median Marriages","Medium","Low Poverty","Low"
"2598","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2599","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2600","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"2601","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2602","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2603","Older Adult","No Marriages","High","High Poverty","Medium"
"2604","Mature Adult","High Marriages","High","Low Poverty","Low"
"2605","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2606","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2607","Adult","Few Marriages","High","Low Poverty","Low"
"2608","Adult","Low Marriages","High","Low Poverty","Low"
"2609","Mature Adult","High Marriages","High","Low Poverty","Low"
"2610","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2611","Older Adult","Median Marriages","Medium","Low Poverty","Low"
"2612","Mature Adult","No Marriages","High","Low Poverty","Low"
"2613","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2614","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2615","Mature Adult","Low Marriages","High","Low Poverty","Low"
"2616","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2617","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2618","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2619","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2620","Adult","Median Marriages","High","Low Poverty","Low"
"2621","Older Adult","No Marriages","High","Low Poverty","Medium"
"2622","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"2623","Adult","No Marriages","High","Low Poverty","Low"
"2624","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2625","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2626","Adult","High Marriages","High","Low Poverty","Low"
"2627","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2628","Mature Adult","No Marriages","High","Low Poverty","Low"
"2629","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2630","Adult","Many Marriages","High","Low Poverty","Low"
"2631","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2632","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2633","Adult","High Marriages","High","High Poverty","Low"
"2634","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2635","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2636","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"2637","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2638","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2639","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2640","Adult","No Marriages","High","Low Poverty","Medium"
"2641","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2642","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2643","Mature Adult","No Marriages","High","Low Poverty","Low"
"2644","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"2645","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2646","Mature Adult","Median Marriages","High","High Poverty","Low"
"2647","Senior","No Marriages","Medium","High Poverty","Low"
"2648","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2649","Young","No Marriages","High","High Poverty","Low"
"2650","Mature Adult","Median Marriages","Medium","High Poverty","Medium"
"2651","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2652","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2653","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2654","Adult","Many Marriages","High","Low Poverty","Low"
"2655","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2656","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2657","Senior","No Marriages","Medium","Low Poverty","Medium"
"2658","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2659","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2660","Mature Adult","No Marriages","Medium","High Poverty","Low"
"2661","Older Adult","No Marriages","Medium","Low Poverty","High"
"2662","Adult","Median Marriages","High","High Poverty","Low"
"2663","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2664","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2665","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2666","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2667","Mature Adult","Few Marriages","High","High Poverty","Low"
"2668","Mature Adult","Low Marriages","High","Low Poverty","Low"
"2669","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2670","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2671","Adult","Many Marriages","High","Low Poverty","Medium"
"2672","Mature Adult","Low Marriages","High","High Poverty","Medium"
"2673","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2674","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"2675","Senior","Low Marriages","Low","Low Poverty","Medium"
"2676","Adult","No Marriages","Low","Low Poverty","Medium"
"2677","Adult","High Marriages","High","Low Poverty","Low"
"2678","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2679","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2680","Adult","Many Marriages","High","Low Poverty","Low"
"2681","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2682","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2683","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2684","Adult","No Marriages","High","Low Poverty","Low"
"2685","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2686","Mature Adult","Median Marriages","High","High Poverty","Medium"
"2687","Adult","Median Marriages","High","High Poverty","Low"
"2688","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2689","Senior","No Marriages","Medium","High Poverty","High"
"2690","Adult","Many Marriages","High","Low Poverty","Low"
"2691","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2692","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2693","Adult","Few Marriages","High","Low Poverty","Low"
"2694","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"2695","Mature Adult","High Marriages","High","Low Poverty","Low"
"2696","Adult","Low Marriages","High","Low Poverty","Low"
"2697","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2698","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2699","Adult","Many Marriages","High","High Poverty","Medium"
"2700","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2701","Older Adult","Few Marriages","High","High Poverty","Medium"
"2702","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2703","Mature Adult","High Marriages","High","Low Poverty","Low"
"2704","Adult","Few Marriages","High","Low Poverty","Low"
"2705","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"2706","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2707","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2708","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2709","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2710","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2711","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2712","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2713","Adult","Many Marriages","High","Low Poverty","Low"
"2714","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2715","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2716","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2717","Adult","No Marriages","High","Low Poverty","Low"
"2718","Older Adult","No Marriages","Low","High Poverty","High"
"2719","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2720","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2721","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2722","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2723","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2724","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2725","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2726","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2727","Older Adult","Few Marriages","Medium","Low Poverty","High"
"2728","Older Adult","Few Marriages","High","High Poverty","Medium"
"2729","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2730","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2731","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2732","Mature Adult","No Marriages","High","Low Poverty","Low"
"2733","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2734","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"2735","Mature Adult","Low Marriages","High","High Poverty","Medium"
"2736","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2737","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2738","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"2739","Adult","Median Marriages","High","High Poverty","Medium"
"2740","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2741","Adult","No Marriages","High","Low Poverty","Low"
"2742","Adult","No Marriages","Medium","Low Poverty","Low"
"2743","Adult","No Marriages","High","Low Poverty","Low"
"2744","Mature Adult","No Marriages","High","High Poverty","Low"
"2745","Adult","High Marriages","High","Low Poverty","Low"
"2746","Adult","Many Marriages","High","Low Poverty","Low"
"2747","Senior","No Marriages","Medium","Low Poverty","High"
"2748","Mature Adult","Few Marriages","High","High Poverty","Low"
"2749","Older Adult","No Marriages","Low","Low Poverty","Low"
"2750","Adult","Median Marriages","High","Low Poverty","Low"
"2751","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2752","Mature Adult","High Marriages","High","Low Poverty","Low"
"2753","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"2754","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"2755","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2756","Mature Adult","No Marriages","High","Low Poverty","Low"
"2757","Adult","Low Marriages","High","High Poverty","Medium"
"2758","Adult","Median Marriages","High","Low Poverty","Low"
"2759","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2760","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2761","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2762","Adult","Many Marriages","High","Low Poverty","Low"
"2763","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2764","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2765","Adult","Many Marriages","High","High Poverty","Low"
"2766","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2767","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2768","Adult","Many Marriages","High","Low Poverty","Low"
"2769","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2770","Adult","Low Marriages","High","High Poverty","Low"
"2771","Mature Adult","High Marriages","High","Low Poverty","Low"
"2772","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2773","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2774","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2775","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"2776","Adult","Few Marriages","High","Low Poverty","Low"
"2777","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"2778","Adult","Few Marriages","High","High Poverty","Medium"
"2779","Adult","Few Marriages","High","High Poverty","Medium"
"2780","Adult","Few Marriages","Medium","Low Poverty","Low"
"2781","Adult","Median Marriages","Low","Low Poverty","Low"
"2782","Young","Many Marriages","Medium","Low Poverty","Low"
"2783","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"2784","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2785","Adult","High Marriages","Medium","Low Poverty","Low"
"2786","Adult","Few Marriages","Medium","Low Poverty","Low"
"2787","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"2788","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2789","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"2790","Adult","Median Marriages","Medium","Low Poverty","Low"
"2791","Adult","Few Marriages","Low","Low Poverty","Low"
"2792","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"2793","Adult","Few Marriages","Medium","Low Poverty","Low"
"2794","Adult","Few Marriages","Low","Low Poverty","Low"
"2795","Older Adult","No Marriages","Low","High Poverty","Medium"
"2796","Adult","No Marriages","Medium","Low Poverty","Medium"
"2797","Adult","High Marriages","High","Low Poverty","Low"
"2798","Adult","Few Marriages","High","High Poverty","Medium"
"2799","Adult","Median Marriages","Medium","Low Poverty","Low"
"2800","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"2801","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2802","Adult","Many Marriages","Medium","Low Poverty","Low"
"2803","Adult","Median Marriages","Medium","Low Poverty","Low"
"2804","Young","High Marriages","Medium","Low Poverty","Low"
"2805","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2806","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2807","Mature Adult","No Marriages","Low","Low Poverty","Low"
"2808","Adult","Many Marriages","Medium","Low Poverty","Low"
"2809","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2810","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2811","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2812","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2813","Older Adult","No Marriages","Low","Low Poverty","Medium"
"2814","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2815","Older Adult","Few Marriages","Low","Low Poverty","Low"
"2816","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2817","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2818","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2819","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"2820","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2821","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2822","Older Adult","Median Marriages","Low","Low Poverty","Low"
"2823","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2824","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2825","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2826","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2827","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2828","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2829","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2830","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2831","Older Adult","No Marriages","Low","High Poverty","Low"
"2832","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"2833","Older Adult","No Marriages","Low","Low Poverty","Low"
"2834","Older Adult","Median Marriages","Low","Low Poverty","Low"
"2835","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2836","Older Adult","Low Marriages","Low","High Poverty","High"
"2837","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2838","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2839","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2840","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2841","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2842","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2843","Mature Adult","High Marriages","High","Low Poverty","Low"
"2844","Older Adult","Few Marriages","Medium","Low Poverty","Low"
"2845","Older Adult","No Marriages","Low","Low Poverty","Low"
"2846","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2847","Older Adult","Few Marriages","High","Low Poverty","Low"
"2848","Older Adult","Few Marriages","Low","High Poverty","High"
"2849","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2850","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2851","Mature Adult","High Marriages","High","Low Poverty","Low"
"2852","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2853","Older Adult","Few Marriages","Low","Low Poverty","Low"
"2854","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2855","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"2856","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2857","Older Adult","Few Marriages","Low","Low Poverty","Low"
"2858","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2859","Older Adult","Median Marriages","High","Low Poverty","Low"
"2860","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2861","Mature Adult","Low Marriages","Medium","Low Poverty","Low"
"2862","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2863","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2864","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2865","Mature Adult","High Marriages","High","Low Poverty","Low"
"2866","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2867","Senior","No Marriages","Low","Low Poverty","Medium"
"2868","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2869","Older Adult","Many Marriages","High","Low Poverty","Low"
"2870","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2871","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2872","Mature Adult","Low Marriages","High","Low Poverty","Low"
"2873","Senior","Few Marriages","High","Low Poverty","Medium"
"2874","Older Adult","Low Marriages","Low","High Poverty","High"
"2875","Mature Adult","High Marriages","High","Low Poverty","Low"
"2876","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2877","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2878","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"2879","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"2880","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2881","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2882","Adult","Many Marriages","Medium","High Poverty","Low"
"2883","Older Adult","Few Marriages","Medium","Low Poverty","Low"
"2884","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2885","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2886","Senior","Few Marriages","High","Low Poverty","Low"
"2887","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2888","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2889","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"2890","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2891","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2892","Older Adult","Median Marriages","Medium","Low Poverty","Low"
"2893","Adult","Low Marriages","High","Low Poverty","Low"
"2894","Adult","Median Marriages","High","Low Poverty","Low"
"2895","Mature Adult","High Marriages","High","Low Poverty","Low"
"2896","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2897","Older Adult","Few Marriages","Medium","Low Poverty","Low"
"2898","Older Adult","Few Marriages","High","Low Poverty","Low"
"2899","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2900","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"2901","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2902","Older Adult","Low Marriages","Low","Low Poverty","High"
"2903","Older Adult","Low Marriages","Low","Low Poverty","High"
"2904","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2905","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2906","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2907","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2908","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2909","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2910","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2911","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2912","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2913","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2914","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2915","Mature Adult","Median Marriages","Low","Low Poverty","High"
"2916","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2917","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2918","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2919","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2920","Mature Adult","Few Marriages","Medium","High Poverty","Medium"
"2921","Adult","Median Marriages","High","High Poverty","Low"
"2922","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2923","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2924","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"2925","Mature Adult","Median Marriages","High","High Poverty","Medium"
"2926","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2927","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2928","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2929","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2930","Adult","Median Marriages","High","Low Poverty","Low"
"2931","Mature Adult","Few Marriages","High","High Poverty","Low"
"2932","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2933","Young","Many Marriages","High","High Poverty","Low"
"2934","Mature Adult","Low Marriages","High","High Poverty","Medium"
"2935","Young","Few Marriages","Medium","Low Poverty","Low"
"2936","Adult","Many Marriages","High","Low Poverty","Low"
"2937","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2938","Mature Adult","Low Marriages","High","Low Poverty","Low"
"2939","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2940","Adult","Many Marriages","High","Low Poverty","Low"
"2941","Adult","Many Marriages","High","Low Poverty","Low"
"2942","Mature Adult","No Marriages","Low","High Poverty","High"
"2943","Mature Adult","Median Marriages","High","High Poverty","Medium"
"2944","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"2945","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2946","Young","Low Marriages","Medium","High Poverty","Low"
"2947","Adult","Many Marriages","High","Low Poverty","Low"
"2948","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2949","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2950","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2951","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2952","Mature Adult","High Marriages","High","Low Poverty","Low"
"2953","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2954","Young","Low Marriages","High","Low Poverty","Low"
"2955","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2956","Adult","Few Marriages","High","High Poverty","Low"
"2957","Older Adult","Low Marriages","Low","Low Poverty","Medium"
"2958","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2959","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2960","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"2961","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2962","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2963","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2964","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2965","Older Adult","Few Marriages","High","Low Poverty","High"
"2966","Adult","Many Marriages","High","Low Poverty","Low"
